,capacity_ratio,antisolv_ratio,add_antisolv_mole,capacity_mole,precip_mole,solute mol fraction,solvent mol fraction,antisolvent mol fraction
0,,,,,,0.23601582320090583,0.7639841767990941,0.0
1,0.30836162225490626,0.01010101010101011,0.007717011886859544,0.2355834001348478,0.00043242306605803527,0.23387968281202273,0.7584591140160974,0.00766120317187978
2,0.3077595714654476,0.02040816326530614,0.015591513812226426,0.23512344285807196,0.0008923803428338706,0.2317173978991717,0.7529169500588118,0.01536565204201658
3,0.30712151044987457,0.03092783505154642,0.02362837660203386,0.23463597433834182,0.0013798488625640093,0.22952928565932953,0.7473565929104503,0.023114121430220135
4,0.30644601793031145,0.041666666666666706,0.03183267403329562,0.23411990874184943,0.0018959144590564025,0.22731483905733318,0.7417777545049601,0.0309074064377067
5,0.3057337787135354,0.052631578947368474,0.040209693515741836,0.23357576925013676,0.002440053950769072,0.2250747760823398,0.7361789627217771,0.03874626119588304
6,0.30498317681240406,0.06382978723404262,0.04876494745526138,0.23300232127459708,0.0030135019263087537,0.2228085098718099,0.7305600007204986,0.04663148940769145
7,0.3041941338187699,0.07526881720430115,0.05750418535046951,0.2323995049126464,0.0036163182882594236,0.22051634920181512,0.7249197952423119,0.05456385555587299
8,0.30336430184819624,0.08695652173913039,0.06643340667818207,0.2317655264177261,0.00425029678317973,0.21819733740695268,0.7192584495856036,0.06254421300744376
9,0.30249380274049437,0.09890109890109886,0.0755588746284818,0.23110047887352417,0.0049153443273816655,0.2158519360860763,0.7135747381616706,0.0705733257522531
10,0.3015818437879881,0.11111111111111109,0.08488713075545488,0.23040375666391907,0.0056120665369867595,0.21348010743744977,0.7078679033062952,0.07865198925625501
11,0.3006270952697851,0.12359550561797751,0.09442501061561837,0.2296743439031896,0.006341479297716224,0.21108153675022065,0.7021374322923036,0.08678103095747572
12,0.29962999575780686,0.13636363636363635,0.10417966047260374,0.22891257565334414,0.007103247547561697,0.2086569111836193,0.696381918158415,0.09496117065796568
13,0.29858903267243736,0.14942528735632185,0.11415855515388763,0.2281172963274899,0.00789852687341594,0.20620585621453455,0.6906009050933549,0.10319323869211051
14,0.29750391022476774,0.16279069767441864,0.12436951715334094,0.2272882799475808,0.008727543253325032,0.20372869187866396,0.684793324984349,0.11147798313698706
15,0.296372724486453,0.17647058823529416,0.1348207370821931,0.22642407194248754,0.009591751258418296,0.20122488381929085,0.6789588487536028,0.1198162674271064
16,0.29519494144361774,0.19047619047619052,0.14552079558077988,0.2255242643340591,0.010491558866846745,0.19869467414511993,0.6730964737180993,0.12820885213678085
17,0.29397157615964326,0.20481927710843378,0.15647868681427232,0.22458963261465725,0.01142619058624858,0.196139158121125,0.6672044987594662,0.13665634311940877
18,0.2926991568011651,0.21951219512195114,0.16770384368760596,0.22361752435852708,0.012398298842378752,0.19355704242593627,0.6612832252107322,0.1451597323633314
19,0.29137887996927625,0.23456790123456783,0.17920616492818253,0.22260885374996958,0.013406969450936251,0.1909495688567872,0.6553308492260024,0.15371958191721039
20,0.29001010819944245,0.24999999999999994,0.19099604419977348,0.22156313377616726,0.014452689424738568,0.1883170160087573,0.6493463871929942,0.16233659679824852
21,0.28859108533067324,0.26582278481012656,0.20308440142760728,0.22047902275791154,0.015536800442994297,0.1856591033278238,0.6433293083710192,0.17101158830115698
22,0.2871215705261441,0.282051282051282,0.2154827165330778,0.21935633669967927,0.01665948650122656,0.18297638150859927,0.6372784224232926,0.17974519606810813
23,0.285600917269586,0.2987012987012987,0.228203065797132,0.21819458167327083,0.017821241527635007,0.18026921529903017,0.6311927042197468,0.18853808048122306
24,0.2840285043583346,0.3157894736842105,0.24125816109445078,0.2169932830896802,0.019022540111225644,0.17753801260932026,0.6250711104169167,0.19739087697376315
25,0.2824037387859865,0.33333333333333337,0.25466139226636475,0.21575198790139832,0.02026383529950751,0.1747832265899333,0.61891258005755,0.20630419335251668
26,0.28072605868946465,0.35135135135135137,0.2684268729294115,0.21447026685392484,0.021545556346980993,0.17200535768854497,0.6127160353104767,0.2152786070009783
27,0.2789949363512225,0.36986301369863017,0.2825694900489801,0.21314771677940442,0.022868106421501416,0.16920495567419086,0.6064803823578407,0.2243146619679685
28,0.27720988124550766,0.38888888888888895,0.2971049576440922,0.21178396292392382,0.024231860276982015,0.1663826216156119,0.6002045124367594,0.2334128659476287
29,0.275370443115679,0.4084507042253522,0.312049875030616,0.2103786612985338,0.02563716190237203,0.16353900979954084,0.593887303042326,0.24257368715813318
30,0.27347621506762476,0.42857142857142866,0.3274217900567547,0.20893150104257133,0.027084322158334506,0.16067482957346627,0.5875276192985736,0.25179755112796015
31,0.27152683666230987,0.44927536231884074,0.3432392678372743,0.2074422067863169,0.028573616414588943,0.1577908470962409,0.5811243155035937,0.26108483740016536
32,0.2695219969883732,0.47058823529411775,0.359521965552515,0.20591054099841022,0.030105282202495615,0.1548878869787709,0.5746762368544358,0.2704358761667934
33,0.2674614376937662,0.492537313432836,0.37629071394582264,0.20433630630197416,0.03167951689893167,0.15196683379608084,0.5681822213566258,0.2798509448472934
34,0.26534495595333396,0.5151515151515154,0.39356760622983655,0.20271934774179973,0.033296475459106106,0.14902863345114062,0.5616411019222471,0.28933026462661227
35,0.26317240734747316,0.5384615384615387,0.4113760951995124,0.20105955498359515,0.03495626821731068,0.14607429437021255,0.5550517086593617,0.29887399697042566
36,0.2609431923957887,0.5624999999999999,0.42974109944949035,0.19935647003382428,0.03665935316708155,0.14310464591602673,0.5484130266137429,0.30848232747023036
