,capacity_ratio,antisolv_ratio,add_antisolv_mole,capacity_mole,precip_mole
6,0.3188231935126504,0.06382978723404262,0.04876494745526138,0.24357587504022052,-0.007560051839314685
7,0.3207259280434568,0.07526881720430115,0.05750418535046951,0.24502953411440584,-0.009013710913500006
8,0.32270781459575926,0.08695652173913039,0.06643340667818207,0.24654366408057582,-0.010527840879669986
9,0.32477301877140347,0.09890109890109886,0.0755588746284818,0.24812144739262743,-0.012105624191721592
10,0.3269238130348163,0.11111111111111109,0.08488713075545488,0.24976462017742512,-0.01374879697651929
11,0.3291639042402903,0.12359550561797752,0.09442501061561838,0.25147601441299405,-0.01546019121208822
12,0.33149531804670196,0.13636363636363638,0.10417966047260376,0.25325717767066347,-0.017241354469757636
13,0.3339222056398214,0.14942528735632185,0.11415855515388763,0.2551112813906768,-0.01909545818977096
14,0.3364480882591537,0.1627906976744186,0.1243695171533409,0.2570410157442985,-0.021025192543392662
15,0.33907616165567567,0.17647058823529416,0.1348207370821931,0.25904882223470793,-0.0230329990338021
16,0.3418112997339746,0.19047619047619052,0.14552079558077988,0.26113842444788904,-0.025122601246983206
17,0.34465684166495975,0.20481927710843378,0.15647868681427232,0.26331237345758,-0.027296550256674185
18,0.3476169284685761,0.21951219512195114,0.16770384368760596,0.2655738329374947,-0.02955800973658887
19,0.35069636426483675,0.23456790123456783,0.17920616492818253,0.26792647315930657,-0.03191064995840073
20,0.3538985317422711,0.24999999999999994,0.19099604419977348,0.2703728784435271,-0.034357055242621254
21,0.3572287636248691,0.2658227848101265,0.20308440142760725,0.2729171229069038,-0.03690129970599795
22,0.36069193973640573,0.282051282051282,0.2154827165330778,0.2755629346575864,-0.03954711145668058
23,0.3642931579274197,0.29870129870129863,0.22820306579713195,0.27831420837272214,-0.042298385171816305
24,0.3680377472574271,0.3157894736842105,0.24125816109445078,0.2811750153694585,-0.04515919216855266
25,0.371930896154903,0.33333333333333337,0.25466139226636475,0.2841493195250529,-0.04813349632414707
