,capacity_ratio,antisolv_ratio,add_antisolv_mole,capacity_mole,precip_mole,solute mol fraction,solvent mol fraction,antisolvent mol fraction
0,,,,,,0.23601582320090583,0.7639841767990941,0.0
1,0.314325610158985,0.010101010101010109,0.007717011886859543,0.24013979252418516,-0.004123969323279325,0.23732957745690775,0.7550437183176614,0.007626704225430929
2,0.31980647379901406,0.02040816326530614,0.015591513812226426,0.24432708562036082,-0.008311262419454984,0.23862332566336966,0.7461491408498977,0.015227533486732621
3,0.3253736159982533,0.03092783505154642,0.02362837660203386,0.24858029417057012,-0.012564470969664288,0.239897712817758,0.7372992185667747,0.02280306861546728
4,0.3310281829796985,0.04166666666666671,0.03183267403329562,0.25290029387104485,-0.016884470670139012,0.24115205434403592,0.7284940278297254,0.03035391782623859
5,0.33677358072331937,0.052631578947368474,0.040209693515741836,0.2572896868365884,-0.021273863635682594,0.24238687929094802,0.7197324646735993,0.03788065603545263
6,0.34261168702815165,0.0638297872340426,0.048764947455261366,0.2617499076759513,-0.025734084475045466,0.24360180874777065,0.7110142997770955,0.045383891475133796
7,0.3485471712328207,0.07526881720430115,0.05750418535046951,0.2662845236899594,-0.030268700489053585,0.24479790511090552,0.7023379482468578,0.05286414664223666
8,0.35458239935167596,0.08695652173913038,0.06643340667818205,0.27089534247613783,-0.034879519275232,0.24597490512664408,0.6937030872834875,0.06032200758986844
9,0.3607217519086218,0.09890109890109887,0.07555887462848182,0.2755857106854355,-0.03956988748452969,0.24713353295922483,0.6851084850071054,0.06775798203366974
10,0.36696671190768143,0.11111111111111109,0.08488713075545488,0.28035676130946036,-0.04434093810855452,0.24827293001270861,0.6765543629885622,0.07517270699872912
11,0.37332170906064976,0.12359550561797752,0.09442501061561838,0.28521187857793145,-0.04919605537702562,0.2493936908466899,0.6680396151464459,0.0825666940068641
12,0.3797891894377031,0.13636363636363638,0.10417966047260376,0.2901529312497588,-0.054137108048852994,0.2504953214310512,0.6595641171406749,0.08994056142827385
13,0.38637526905993036,0.14942528735632182,0.11415855515388762,0.2951845918682794,-0.059168768667373556,0.25157906568384525,0.6511262128550547,0.09729472146110012
14,0.3930841811754297,0.16279069767441862,0.12436951715334092,0.30031009456805663,-0.0642942713671508,0.2526451108112305,0.6427252047023418,0.10462968448642775
15,0.3999182163216864,0.17647058823529416,0.1348207370821931,0.30553118928348566,-0.06951536608257983,0.25369262656878433,0.6343612674165333,0.11194610601468237
16,0.40688275229276955,0.19047619047619052,0.14552079558077988,0.31085198456414126,-0.07483616136323543,0.2547221800927561,0.6260333687220848,0.11924445118515904
17,0.41398116341208485,0.2048192771084338,0.15647868681427235,0.3162750583397129,-0.08025923513880709,0.2557332905586379,0.6177413688363305,0.1265253406050316
18,0.4212206882607196,0.21951219512195114,0.16770384368760596,0.32180594077161373,-0.0857901175707079,0.25672715682536706,0.609483731403199,0.13378911177143388
19,0.42860545107930637,0.2345679012345678,0.1792061649281825,0.3274477827144283,-0.09143195951352248,0.25770341406866165,0.6012602346043842,0.14103635132695425
20,0.4361424021670876,0.24999999999999994,0.19099604419977348,0.3332058940868019,-0.09719007088589607,0.25866285172980796,0.5930697186161537,0.14826742965403839
21,0.44383457301755586,0.26582278481012656,0.20308440142760728,0.3390825909017948,-0.10306676770088899,0.2596044002533344,0.5849125237998658,0.15548307594679975
22,0.4516877843628176,0.28205128205128205,0.21548271653307782,0.3450823201066339,-0.10906649690572809,0.2605281227797707,0.5767880642317789,0.16268381298845044
23,0.4597107968903007,0.29870129870129863,0.22820306579713195,0.35121177472789195,-0.11519595152698611,0.26143518805563937,0.5686949051971577,0.16986990674720293
24,0.4679091370525371,0.3157894736842105,0.24125816109445078,0.35747517688785707,-0.12145935368695124,0.2623252236874646,0.560632829997527,0.1770419463150085
25,0.4762913771864155,0.3333333333333333,0.2546613922663647,0.3638790757162705,-0.12786325251536465,0.2631989795550582,0.5526007653337064,0.18420025511123544
26,0.48486208594529207,0.3513513513513513,0.2684268729294114,0.3704269615920056,-0.13441113839109978,0.2640554066847087,0.5445989990533155,0.19134559426197573
27,0.4936303219387598,0.36986301369863017,0.2825694900489801,0.37712575514945523,-0.1411099319485494,0.26489513672981196,0.5366265501872373,0.19847831308295077
28,0.5026025359127169,0.38888888888888895,0.2971049576440922,0.38398038465641415,-0.14796456145550832,0.2657175863038521,0.5286833378612265,0.20559907583492143
29,0.5117905524865258,0.4084507042253521,0.31204987503061593,0.39099988393497204,-0.1549840607340662,0.2665240894588889,0.5207678964841889,0.21270801405692222
30,0.5212020902344641,0.42857142857142866,0.3274217900567547,0.39819014985374424,-0.1621743266528384,0.2673141701881693,0.5128800808682815,0.21980574894354926
31,0.5308487618313484,0.4492753623188407,0.34323926783727426,0.4055600543125411,-0.16954423111163527,0.2680886290697423,0.5050188459418777,0.22689252498837992
32,0.5407373631681015,0.4705882352941178,0.35952196555251503,0.41311478926449485,-0.17709896606358902,0.26884625919419913,0.4971845437479445,0.23396919705785632
33,0.5508803695246167,0.49253731343283597,0.3762907139458226,0.4208638856260451,-0.18484806242513926,0.2695877470959944,0.48937620944568366,0.24103604345832189
34,0.5612872812482306,0.5151515151515154,0.39356760622983655,0.42881460151223105,-0.19279877831132522,0.27031246103734147,0.48159377571535456,0.24809376324730395
35,0.57197405778679,0.5384615384615388,0.41137609519951246,0.43697912968867825,-0.20096330648777241,0.27102180175674384,0.4738358288581164,0.25514236938513973
36,0.5829519863275928,0.5625,0.42974109944949046,0.4453660933878828,-0.20935027018697697,0.2717152329870788,0.46610225088826956,0.26218251612465165
