,capacity_ratio,antisolv_ratio,add_antisolv_mole,capacity_mole,precip_mole,solute mol fraction,solvent mol fraction,antisolvent mol fraction
0,,,,,,0.23601582320090583,0.7639841767990941,0.0
1,0.30773368175190774,0.01010101010101011,0.007717011886859544,0.23510366352658565,0.0009121596743201787,0.23351463097334635,0.7588205153363871,0.007664853690266544
2,0.3064967523454819,0.02040816326530614,0.015591513812226426,0.23415866903225882,0.0018571541686470128,0.23098622119761936,0.753633503226333,0.015380275576047627
3,0.30521724091842684,0.03092783505154642,0.02362837660203386,0.2331811425479551,0.0028346806529507274,0.22843121335222874,0.7484217230483381,0.02314706359943316
4,0.3038942090780085,0.041666666666666706,0.03183267403329562,0.23217036715647413,0.0038454560444317054,0.22584946883939683,0.7431845099141791,0.030966021246424155
5,0.3025285787232428,0.05263157894736847,0.04020969351574183,0.2311270471740766,0.004888776026829245,0.2232419371325527,0.7379201597240749,0.0388379031433724
6,0.30111927309212044,0.06382978723404262,0.04876494745526138,0.23005035997162526,0.005965463229280571,0.22060843283057474,0.7326280731392597,0.04676349403016556
7,0.2996665330326029,0.07526881720430113,0.05750418535046949,0.22894048955315166,0.007075333647754173,0.21794954430473387,0.7273069237965974,0.05474353189866867
8,0.2981688599357583,0.08695652173913039,0.06643340667818207,0.2277962910051447,0.008219532195761131,0.215264887843737,0.721956303183762,0.06277880897250102
9,0.2966260339145407,0.09890109890109886,0.0755588746284818,0.22661759633738054,0.009398226863525289,0.21255483103081121,0.7165751037619619,0.07087006520722697
10,0.29503943185495657,0.11111111111111109,0.08488713075545488,0.2254054574689814,0.01061036573192442,0.20982065777439043,0.7111614080030486,0.07901793422256094
11,0.29340790274055667,0.12359550561797751,0.09442501061561837,0.22415899504159287,0.011856828159312965,0.2070622420594191,0.7057146045671171,0.0872231533734639
12,0.29173187445788173,0.13636363636363635,0.10417966047260374,0.22287853595376145,0.013137287247144386,0.20428036657720583,0.7002332774120589,0.0954863560107353
13,0.2900098481101157,0.14942528735632185,0.11415855515388763,0.2215629350720371,0.014452888128868746,0.20147475976132842,0.6947169590076443,0.10380828123102731
14,0.28824207891351605,0.16279069767441862,0.12436951715334092,0.2202123873776021,0.015803435823303735,0.19864615297754312,0.6891643084393129,0.11218953858314397
15,0.28643041171553846,0.17647058823529413,0.13482073708219308,0.21882830230472125,0.017187520896184583,0.19579616920431747,0.6835732561763301,0.1206305746193524
16,0.28457252966482477,0.19047619047619052,0.14552079558077988,0.21740890981561695,0.018606913385288887,0.19292415618490183,0.6779437088046825,0.12913213501041573
17,0.2826687019618362,0.20481927710843378,0.15647868681427232,0.2159544155751819,0.02006140762572392,0.19003091516646314,0.6722743404118355,0.1376947444217013
18,0.28072111256373977,0.21951219512195114,0.16770384368760596,0.21446648809213456,0.021549335108771273,0.18711830428347798,0.6665629904875481,0.14631870522897392
19,0.27872773989693134,0.23456790123456783,0.17920616492818253,0.2129435829162291,0.02307224028467672,0.1841859133939784,0.6608094101508776,0.15500467645514407
20,0.27668937712126684,0.24999999999999992,0.19099604419977348,0.21138630600904515,0.024629517191860684,0.18123488724536338,0.6550120902037093,0.16375302255092727
21,0.2746062307625426,0.26582278481012656,0.20308440142760728,0.20979481515302317,0.02622100804788266,0.17826607262422614,0.6491698026268614,0.1725641247489125
22,0.2724785526227308,0.282051282051282,0.2154827165330778,0.20816930272088563,0.027846520480020204,0.17528036229672617,0.6432813174085537,0.18143832029472023
23,0.2703066409151607,0.29870129870129863,0.22820306579713195,0.2065099965428974,0.02950582665800844,0.1722786954036935,0.6373454045391561,0.1903759000571505
24,0.2680908412231316,0.3157894736842105,0.24125816109445078,0.20481716063923083,0.031198662561675,0.16926205768193733,0.6313608361617277,0.19937710615633503
25,0.26583154727309666,0.33333333333333337,0.25466139226636475,0.20309109581066623,0.032924727390239605,0.1662314815044518,0.6253263888716611,0.20844212962388706
26,0.26352920151355713,0.35135135135135137,0.2684268729294115,0.20133214008085754,0.0346836831200483,0.16318804573257034,0.619240846157898,0.21757110810953173
27,0.2611842954910135,0.36986301369863017,0.2825694900489801,0.19954066898355333,0.03647515421735251,0.16013287537366297,0.613103000977226,0.22676412364911103
28,0.25879737001475855,0.38888888888888895,0.2971049576440922,0.19771709568849588,0.03829872751240995,0.15706714103870692,0.606911658452131,0.2360212005091621
29,0.25636901510283955,0.4084507042253522,0.312049875030616,0.1958618709601374,0.040153952240768426,0.15399205819492137,0.6006656386816058,0.24534230312347283
30,0.25389986970247563,0.4285714285714287,0.32742179005675476,0.1939754829440431,0.042040340256862735,0.15090888620980267,0.594363779653138,0.2547273341370592
31,0.25139062117916183,0.44927536231884074,0.3432392678372743,0.19205845677657488,0.04395736642433096,0.14781892718409692,0.588004940242973,0.26417613257293
32,0.24884200457001424,0.47058823529411775,0.359521965552515,0.19011135401445875,0.04590446918644708,0.14472352457269655,0.5815880032905663,0.27368847213673714
33,0.24625480159834423,0.492537313432836,0.37629071394582264,0.18813477188193528,0.04788105131897055,0.14162406159400392,0.5751118787320173,0.2832640596739788
34,0.2436298394480706,0.5151515151515154,0.39356760622983655,0.18612934233442968,0.04988648086647615,0.1385219594299922,0.568575506776205,0.2929025337938027
35,0.24096798929837066,0.5384615384615387,0.4113760951995124,0.18409573093904863,0.051920092261857204,0.13541867522099668,0.5619778611063521,0.30260346367265123
36,0.23827016462086578,0.5624999999999999,0.42974109944949035,0.1820346355736568,0.053981187627249044,0.1323156998611376,0.555317952088872,0.31236634804999047
